"Qty";"Value";"Device";"Package";"Parts";"Description";"BUILT_BY";"COPYRIGHT";"DESCRIPTION";"FLASH";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"POPULARITY";"RAM";"SPICEPREFIX";"SUPPLIER";"VENDOR";
"1";"";"10-XX";"B3F-10XX";"S1";"OMRON SWITCH";"";"";"";"";"";"";"";"";"";"";"B3F-1000";"176432";"36M3542";"";"72";"";"";"";"";
"1";"";"B25A-";"B25A-";"B2";"RECTIFIER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"CARTOUCHE_TGÉ";"CARTOUCHE";"FRAME1";"Cartouche de TGÉ:  Grandeur A, dimention 8 1/2 x 11 pouces, orientation portrait.";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"";"CENPC1206K";"C1206K";"C8, C9";"Condensateur electrolytique non-polarisé";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"16";"";"PINHD-1X1";"1X01";"JP1, JP2, JP3, JP4, JP5, JP6, JP7, JP8, JP9, JP10, JP11, JP12, JP13, JP14, JP15, JP16";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"6";"";"R0309/10";"0309/10";"R18, R19, R20, R21, R22, R23";"R";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"4";"";"W237-102";"W237-102";"X2, X3, X4, X5";"WAGO SCREW CLAMP";"";"";"";"";"";"";"";"";"";"";"237-102";"unknown";"70K9898";"";"32";"";"";"";"";
"4";"0.1uF";"CENPC0603K";"C0603K";"C17, C18, C20, C22";"Condensateur electrolytique non-polarisé";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"0.33uF";"CENPC0603K";"C0603K";"C16";"Condensateur electrolytique non-polarisé";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"8";"100NF";"CENPC0603K";"C0603K";"C1, C2, C3, C4, C7, C12, C13, C14";"Condensateur electrolytique non-polarisé";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"10k";"RM1206";"M1206";"R3, R4";"R";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"16MHz";"CRYSTALHC49S";"HC49/S";"Q1";"CRYSTAL";"";"";"";"";"";"";"";"";"";"";"";"1667008";"unknown";"";"49";"";"";"";"";
"1";"1M";"RM1206";"M1206";"R2";"R";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"1k";"RM1206";"M1206";"R1";"R";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"1k";"RM3216";"M3216";"R5";"R";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"1nF/1KV";"CXC10B6";"XC10B6";"C11";"Condensateur";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"20P";"CENPC0603K";"C0603K";"C5, C6";"Condensateur electrolytique non-polarisé";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"2200uF";"CPOL-USSANYO_B'";"SANYO-OSCON_B'";"C15";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";"";
"1";"2N3904";"2N3904";"TO92";"VERIFIER_TYPE";"NPN TRANSISTOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"27";"";"";"";"";
"3";"47uF";"CPOL-USSANYO_B'";"SANYO-OSCON_B'";"C19, C21, C23";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";"";
"4";"50";"RM1206";"M1206";"R12, R13, R14, R15";"R";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"75";"RM1206";"M1206";"R16, R17";"R";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"4";"7805TV";"7805TV";"TO220V";"IC2, IC3, IC4, IC5";"Positive VOLTAGE REGULATOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"57";"";"";"";"";
"1";"7824TV";"7824TV";"TO220V";"LM3940";"Positive VOLTAGE REGULATOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";
"1";"ATMEGA328P-AU";"ATMEGA328P-AU";"QFP80P900X900X120-32N";"U1";"8-bit Microcontroller with In-System Programmable Flash";"";"";"";"";"";"";"";"";"";"";"ATMEGA328P-AU";"1715486";"14R4631";"TQFP-32";"";"";"";"Atmel";"";
"1";"HX1178NL";"HX1178NL";"SOP254P1283X647-16N";"AT1";"Audio Transformers / Signal Transformers 10/100Base-T SMD 1-Port";"";"";"Audio Transformers / Signal Transformers 10/100Base-T SMD 1-Port";"";"6.47mm";"Pulse";"HX1178NL";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"IP4220CZ6,125DIODE_SOT457_1P7X3P1-M";"IP4220CZ6,125DIODE_SOT457_1P7X3P1-M";"DIODE_SOT457_1P7X3P1-M";"IP4220CZ6";"";"EMA_Anthony";"Copyright (C) 2016 Accelerated Designs. All rights reserved";"";"";"";"";"IP4220CZ6,125";"";"";"";"";"";"";"";"";"";"";"";"Nexperia";
"4";"MOUNT-PAD-ROUND3.3";"MOUNT-PAD-ROUND3.3";"3,3-PAD";"H1, H2, H3, H4";"MOUNTING PAD, round";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";
"1";"OMEGA2+";"OMEGA2+";"OMEGA2_PADS";"U$2";"Onion Omega2+";"";"";"";"32MB";"";"";"";"";"";"";"";"";"";"";"";"128MB";"";"";"";
"1";"RJ45-6L-B";"RJ45-6L-B";"RJ45-NO-SHIELD";"X1";"CORCOM Modular RJ Jacks No Shield";"";"";"";"";"";"";"";"";"";"";"RJ45-6L-B";"unknown";"16R6090";"";"0";"";"";"";"";
"1";"TXS0108E";"TXS0108E";"TSSOP20";"U$1";"8-BIT BIDIRECTIONAL VOLTAGE-LEVEL TRANSLATOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"USB_2P85-32003-00X-1";"USB_2P85-32003-00X-1";"USB2";"USB";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
